Date,Barcode,FlyHeight,Axial_Play,Oil_Top,Oil_Bottom,Max_force
01/11/2021,A2GAF100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.65,14.3,8.13,8.15,589
01/11/2021,A2GAQ100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.1,13,8.12,8.13,412
01/11/2021,A2GB1100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.5,14.3,8.12,8.13,378
01/11/2021,A2GBJ100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.13,13.4,8.09,8.14,471
01/11/2021,A2GC4100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.31,13.7,8.09,8.13,470
01/11/2021,A2GE4100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.26,13.8,8.14,8.16,1104
01/11/2021,A2GFH100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.79,13.2,8.13,8.16,592
01/11/2021,A2GFS100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.28,13.8,8.23,8.15,423
01/11/2021,A2GG6100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.45,13.9,8.1,8.15,389
01/11/2021,A2GGE100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.31,13.9,8.15,8.12,882
01/11/2021,A2GGR100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.39,14.1,8.18,8.15,430
01/11/2021,A2GJ5100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.8,14.3,8.15,8.14,474
01/11/2021,A2GKX100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.93,13.5,8.1,8.11,391
01/11/2021,A2GL1100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.12,13.3,8.09,8.1,766
01/11/2021,A2GL3100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.79,14.3,8.16,8.12,371
01/11/2021,A2GL7100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.1,13,8.16,8.14,332
01/11/2021,A2GLN100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.39,13.6,8.16,8.11,456
01/11/2021,A2GM1100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.44,14.1,8.15,8.15,349
01/11/2021,A2GN0100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.51,14.6,8.12,8.1,449
01/11/2021,A2GNF100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.55,13.9,8.09,8.16,415
01/11/2021,A2GNH100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.92,14.1,8.16,8.11,440
01/11/2021,A2GP1100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.68,14.2,8.1,8.1,404
01/11/2021,A2GP5100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.08,13.4,8.21,8.12,322
01/11/2021,A2GPA100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.64,13.6,8.09,8.14,817
01/11/2021,A2GPJ100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.14,13.7,8.16,8.16,393
01/11/2021,A2GPN100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.04,13.4,8.13,8.11,412
01/11/2021,A2GPP100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.92,14.8,8.21,8.14,519
